"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Mean[1]","Burst1_y1",NA,"3.362091",NA,NA,"0.123259137465288","0.121296","-0.0159269122408169","3.1373475","3.59974",NA,NA,NA,"1","0"
"Level2Mean[2]","Burst1_y2",NA,"2.637893",NA,NA,"0.0766268832945353","0.086737","0.13193955268419","2.5040925","2.7748175",NA,NA,NA,"1","0"
"Level2Mean[3]","Burst2_y1",NA,"6.516963",NA,NA,"0.190785313611659","0.179517","-0.0590627936623847","6.1554875","6.8664225",NA,NA,NA,"1","0"
"Level2Mean[4]","Burst2_y2",NA,"4.783791",NA,NA,"0.114978392432068","0.124827","0.0856561599063131","4.55547","5.00709",NA,NA,NA,"1","0"
"Level2Mean[5]","Burst3_y1",NA,"8.369995",NA,NA,"0.213447244860138","0.194537","-0.0885944668554015","7.975535","8.774905",NA,NA,NA,"1","0"
"Level2Mean[6]","Burst3_y2",NA,"6.257017",NA,NA,"0.131440806706581","0.141625","0.0774812141571344","6.0188275","6.5155875",NA,NA,NA,"1","0"
"Level2Mean[7]","Burst4_y1",NA,"9.232823",NA,NA,"0.201449393025904","0.198106","-0.0165966894994508","8.8794225","9.6363675",NA,NA,NA,"1","0"
"Level2Mean[8]","Burst4_y2",NA,"7.083687",NA,NA,"0.131791924811251","0.147557","0.119620949548516","6.81795","7.302855",NA,NA,NA,"1","0"
"Level2Mean[9]","Burst5_y1",NA,"9.617124",NA,NA,"0.212182886675575","0.199728","-0.0586988275572769","9.2230425","10.05584",NA,NA,NA,"1","0"
"Level2Mean[10]","Burst5_y2",NA,"7.515144",NA,NA,"0.134765764858059","0.149842","0.111869918579243","7.2291025","7.7239775",NA,NA,NA,"1","0"
"Level2Mean[11]","AR1","0.3","0.297836","0.0162871053290632","-0.00721333333333333","0.0162240283206574","0.01511","-0.0686653338270495","0.2682475","0.3282575","0.95","1",NA,"1","0"
"Level2Mean[12]","AR2","0.2","0.201504","0.012451497901859","0.00751999999999989","0.0124226001279681","0.01507","0.213111574449823","0.1791025","0.2216525","0.99","1",NA,"1","0"
"Level2Mean[13]","CR_y1toy2","-0.15","-0.152528","0.0124926458366513","0.0168533333333334","0.0122958240426939","0.014832","0.206263195414959","-0.173725","-0.1303275","0.98","1",NA,"1","0"
"Level2Mean[14]","CR_y2toy1","-0.1","-0.102099","0.0149072633303367","0.0209899999999999","0.0148331017687066","0.014814","-0.00128777979174521","-0.1307325","-0.0716425","0.94","1",NA,"1","0"
"Level2Sigma[1]","SD_Burst1_y1",NA,"1.166643",NA,NA,"0.0927871913563396","0.089224","-0.0384017589524348","1.0137875","1.3464975",NA,NA,NA,"1","0"
"Level2Sigma[2]","SD_Burst1_y2",NA,"0.817653",NA,NA,"0.0694158606377592","0.064877","-0.0653865067155885","0.6949525","0.962115",NA,NA,NA,"1","0"
"Level2Sigma[3]","SD_Burst2_y1",NA,"1.7627",NA,NA,"0.110648079855719","0.129492","0.170304990098813","1.57727","1.9922025",NA,NA,NA,"1","0"
"Level2Sigma[4]","SD_Burst2_y2",NA,"1.213091",NA,NA,"0.0878459177862988","0.090934","0.035153394620038","1.0650125","1.414525",NA,NA,NA,"1","0"
