"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Mean[1]","Burst1_y1","3.38008587561722","3.375503","0.0529347507779423","-0.00135584591216293","0.0530016684604924","0.058154","0.097210742400461","3.2650525","3.4630725","0.95","1",NA,"1","0"
"Level2Mean[2]","Burst1_y2","2.6490919557642","2.642368","0.0409991677612958","-0.00253821153681223","0.040647787172492","0.043363","0.0667985397577936","2.568365","2.717385","0.97","1",NA,"1","0"
"Level2Mean[3]","Burst2_y1","6.5592497625802","6.549854","0.072859003825632","-0.00143244470332573","0.0726146191419559","0.082847","0.140913509964717","6.422355","6.69957","0.97","1",NA,"1","0"
"Level2Mean[4]","Burst2_y2","4.79549474076678","4.797185","0.0570562376193479","0.000352468165349559","0.0573185082577076","0.059447","0.0371344580832881","4.6975175","4.901025","0.98","1",NA,"1","0"
"Level2Mean[5]","Burst3_y1","8.41991048086296","8.403799","0.0830818302313897","-0.00191349788095461","0.0819152721851775","0.089334","0.0905658690610432","8.254855","8.57724","0.97","1",NA,"1","0"
"Level2Mean[6]","Burst3_y2","6.27213639876793","6.269926","0.0639372222317584","-0.000352415608876716","0.0642209138974071","0.066436","0.0344916627335993","6.161635","6.3978575","0.96","1",NA,"1","0"
"Level2Mean[7]","Burst4_y1","9.29394031721092","9.276327","0.0854481077272787","-0.00189513990942099","0.084034325424168","0.090809","0.08061794441303","9.1205775","9.4525075","0.97","1",NA,"1","0"
"Level2Mean[8]","Burst4_y2","7.10490577112262","7.10087","0.0608274506169227","-0.000568025988328106","0.06099918280625","0.068515","0.123211768551429","6.997905","7.223085","0.98","1",NA,"1","0"
"Level2Mean[9]","Burst5_y1","9.68083248283218","9.666535","0.0872041552354955","-0.00147688567667417","0.0864574787471457","0.091307","0.0560914026539829","9.518765","9.8411325","0.97","1",NA,"1","0"
"Level2Mean[10]","Burst5_y2","7.54002818053297","7.537907","0.0671134208474985","-0.000281322626677594","0.0674178276560331","0.069451","0.0301577848865162","7.4184225","7.6750075","0.96","1",NA,"1","0"
"Level2Mean[11]","AR1","0.3","0.30503","0.0200412225176011","0.0167666666666668","0.0194974668129276","0.018261","-0.0634167927962696","0.2681875","0.3428975","0.94","1",NA,"1","0"
"Level2Mean[12]","AR2","0.2","0.203356","0.0188387419962162","0.01678","0.0186307951868118","0.016981","-0.0885520542880333","0.162265","0.2380725","0.9","1",NA,"1","0"
"Level2Mean[13]","CR_y1toy2","-0.15","-0.149743","0.0155606008881405","-0.0017133333333332","0.015636859168211","0.015045","-0.0378502589199134","-0.176115","-0.12037","0.96","1",NA,"1","0"
"Level2Mean[14]","CR_y2toy1","-0.1","-0.099886","0.0138992086105648","-0.00114000000000003","0.0139687603840379","0.014633","0.0475517939817428","-0.12691","-0.07474","0.96","1",NA,"1","0"
"Level2Sigma[1]","SD_Burst1_y1","1.16975723241009","1.159852","0.0459439084656265","-0.00846776761506359","0.0450894632140292","0.046812","0.0382026456556894","1.06551","1.2421775","0.95","1",NA,"1","0"
"Level2Sigma[2]","SD_Burst1_y2","0.818364051334181","0.809199","0.0401858067600761","-0.0111992350094552","0.0393238419339266","0.037734","-0.0404294660882299","0.7272225","0.8660725","0.91","1",NA,"1","0"
"Level2Sigma[3]","SD_Burst2_y1","1.77224917802126","1.755266","0.06091104152534","-0.00958283870681129","0.0587902163577745","0.062098","0.0562641855593045","1.6413075","1.88159","0.94","1",NA,"1","0"
